,Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,MC.Action,MC.ActionPower,MC.IsActive,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max,FE.BlinkWink,FE.HorizontalEyesDirection,FE.UpperFaceAction,FE.UpperFaceActionPower,FE.LowerFaceAction,FE.LowerFaceActionPower,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
44907,1645494017.360574,11.0,0.0,3992.3076170000004,4114.358886999999,3748.718018,3867.6923829999996,3937.9487299999996,16231.0,4.0,82.0,24.0,1.0,5.0,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44908,1645494017.3683891,12.0,0.0,4003.5898439999996,4133.846191,3750.7692869999996,3901.025635,3940.0,450.0,4.0,82.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,6.0,0.0,0.396102,-0.320801,0.581543,0.634033,0.87013,-0.48926499999999995,-0.12255999999999999,-0.033799,-0.039067000000000005,-0.027750999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44909,1645494017.376205,13.0,0.0,4018.974365,4147.692383,3758.461426,3894.8718259999996,3935.897461,450.0,4.0,82.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,512.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
44910,1645494017.3840199,14.0,0.0,4013.3332520000004,4163.077147999999,3757.9487299999996,3870.256348,3926.6667479999996,450.0,4.0,82.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,7.0,0.0,0.396102,-0.320801,0.581543,0.634033,0.8759899999999999,-0.49903100000000006,-0.12549000000000002,-0.033886,-0.039164,-0.030054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44911,1645494017.391835,15.0,0.0,4013.8461909999996,4155.384765999999,3756.923096,3903.076904,3920.0,16231.0,4.0,82.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44912,1645494017.39965,16.0,0.0,4038.461426,4121.025879,3771.794922,3902.5642090000006,3925.1281740000004,0.0,4.0,82.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,8.0,0.0,0.396492,-0.320801,0.581543,0.633789,0.8847790000000001,-0.495613,-0.120119,-0.034062,-0.039202999999999995,-0.025876999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44913,1645494017.407565,17.0,0.0,4058.974365,4117.94873,3773.8461909999996,3918.461426,3946.1538090000004,0.0,4.0,82.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,512.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
44914,1645494017.41538,18.0,0.0,4054.8718259999996,4137.94873,3748.718018,4114.358886999999,3966.6667479999996,0.0,4.0,82.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,9.0,0.0,0.396492,-0.320801,0.581543,0.633789,0.882826,-0.479988,-0.129885,-0.033976,-0.039335,-0.022165999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44915,1645494017.423195,19.0,0.0,4046.1538090000004,4119.487305,3738.974365,4186.153809,3971.794922,0.0,4.0,82.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44916,1645494017.43101,20.0,0.0,4038.461426,4106.153809,3742.5642090000006,3948.718018,3961.025635,0.0,4.0,82.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,10.0,0.0,0.396102,-0.320801,0.581543,0.634033,0.8759899999999999,-0.49903100000000006,-0.12549000000000002,-0.033997,-0.039307999999999996,-0.018729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44917,1645494017.438825,21.0,0.0,4028.718018,4093.8461909999996,3736.923096,3811.794922,3956.4101560000004,0.0,4.0,82.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,512.0,1.0,5.737374,0.684929,2.205768,1.37094,1.393818,62.064774,24.209251000000002,14.215535000000001,10.166826,4.668141,5.144067,0.9868629999999999,2.5117130000000003,0.612475,0.42407,7.014153,3.72514,3.898142,2.8777009999999996,3.812265,4.1161080000000005,1.222245,0.8838809999999999,0.775863,0.802717
44918,1645494017.446641,22.0,0.0,4022.5642090000006,4062.5642090000006,3737.9487299999996,3920.0,3951.281982,0.0,4.0,82.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,11.0,0.0,0.396492,-0.320801,0.581543,0.633789,0.882826,-0.479988,-0.129885,-0.033917,-0.03943,-0.015733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44919,1645494017.454456,23.0,0.0,4031.794922,4049.743652,3752.820557,3935.897461,3943.076904,0.0,4.0,82.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44920,1645494017.462271,24.0,0.0,4053.3332520000004,4026.6667479999996,3769.743652,3862.0512700000004,3962.0512700000004,0.0,4.0,82.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,12.0,0.0,0.39613400000000004,-0.320801,0.5817869999999999,0.633789,0.8808729999999999,-0.481941,-0.128908,-0.033895,-0.039442000000000005,-0.019287000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44921,1645494017.4700859,25.0,0.0,4061.025635,3996.4101560000004,3790.7692869999996,3881.025635,3979.487061,0.0,4.0,82.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,512.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
