,Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,MC.Action,MC.ActionPower,MC.IsActive,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max,FE.BlinkWink,FE.HorizontalEyesDirection,FE.UpperFaceAction,FE.UpperFaceActionPower,FE.LowerFaceAction,FE.LowerFaceActionPower,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
18209,1645818371.75421,1645818371.793808,105.0,0.0,4346.666504,4547.179688,4204.102539,4286.153809,4286.153809,450.0,1.0,15.0,,,,0.0,4.0,1.0,4.0,1.0,4.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18210,1645818371.762026,1645818371.801623,106.0,0.0,4351.794922,4551.282227000001,4213.333496,4262.563965,4292.307617,450.0,1.0,15.0,,,,0.0,4.0,1.0,4.0,1.0,4.0,50.0,,,,,,,,53.0,0.0,0.17463399999999998,0.618408,-0.12402300000000001,-0.756104,0.902358,-0.39942,-0.20556999999999997,-0.013827,-0.024477000000000002,-0.029207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18211,1645818371.769842,1645818371.809438,107.0,0.0,4363.589844,4568.205078,4220.512695,4245.128418,4305.128418,16222.0,1.0,15.0,,,,0.0,4.0,1.0,4.0,1.0,4.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,512.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
18212,1645818371.777659,1645818371.817352,108.0,0.0,4369.743652,4559.487305,4208.205078,4270.769043,4289.743652,450.0,1.0,15.0,,,,0.0,4.0,1.0,4.0,1.0,4.0,50.0,,,,,,,,54.0,0.0,0.173573,0.618408,-0.12402300000000001,-0.7563479999999999,0.900893,-0.408209,-0.20556999999999997,-0.014593,-0.024519,-0.032146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18213,1645818371.785475,1645818371.825167,109.0,0.0,4365.128418,4547.692383,4195.384765999999,4275.384765999999,4257.94873,450.0,1.0,15.0,,,,0.0,4.0,1.0,4.0,1.0,4.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18214,1645818371.793291,1645818371.832981,110.0,0.0,4336.410156,4584.102539,4191.794922,4264.102539,4251.794922,450.0,1.0,15.0,,,,0.0,4.0,1.0,4.0,1.0,4.0,50.0,,,,,,,,55.0,0.0,0.173573,0.618408,-0.12402300000000001,-0.7563479999999999,0.9077290000000001,-0.404791,-0.208988,-0.013572999999999998,-0.024558,-0.034888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18215,1645818371.801107,1645818371.8408961,111.0,0.0,4307.179688,4562.05127,4178.974121,4271.794922,4253.846191,16222.0,1.0,15.0,,,,0.0,4.0,1.0,4.0,1.0,4.0,50.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,512.0,1.0,0.9209430000000001,2.195208,2.663051,1.621843,4.2927230000000005,8.606724,15.910069,10.728544,21.744170999999998,17.508164999999998,6.196028,1.649921,1.66832,2.59077,2.9570529999999997,5.26789,5.384853,4.047909,3.866961,4.142695,3.523314,4.304915,4.43613,1.4627139999999998,6.246557
18216,1645818371.808923,1645818371.848711,112.0,0.0,4332.820313,4522.563965,4182.05127,4290.769043,4264.102539,450.0,1.0,15.0,,,,0.0,4.0,1.0,4.0,1.0,4.0,50.0,,,,,,,,56.0,0.0,0.173573,0.618408,-0.12402300000000001,-0.7563479999999999,0.8964979999999999,-0.401373,-0.20556999999999997,-0.014266999999999998,-0.024738999999999997,-0.03721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18217,1645818371.81674,1645818371.856525,113.0,0.0,4372.307617,4558.461426,4197.94873,4310.256348,4292.307617,450.0,1.0,15.0,,,,0.0,4.0,1.0,4.0,1.0,4.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18218,1645818371.824556,1645818371.86434,114.0,0.0,4343.077147999999,4552.820313,4186.153809,4307.179688,4276.922852000001,450.0,1.0,15.0,,,,0.0,4.0,1.0,4.0,1.0,4.0,50.0,,,,,,,,57.0,0.0,0.172506,0.618408,-0.12402300000000001,-0.756592,0.9091940000000001,-0.393072,-0.212894,-0.014891,-0.024755000000000003,-0.033245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
