,Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,MC.Action,MC.ActionPower,MC.IsActive,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max,FE.BlinkWink,FE.HorizontalEyesDirection,FE.UpperFaceAction,FE.UpperFaceActionPower,FE.LowerFaceAction,FE.LowerFaceActionPower,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
11880,1650407407.498085,1650407407.520796,47.0,0.0,4288.205078,4660.0,4161.538574,4242.563965,4254.871582,0.0,4.0,86.0,13.0,1.0,6.0,0.0,1.0,2.0,0.0,0.0,1.0,8.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11881,1650407407.5059,1650407407.528611,48.0,0.0,4301.025879,4624.615234000001,4242.05127,4206.666504,4262.563965,0.0,4.0,86.0,,,,0.0,1.0,2.0,0.0,0.0,1.0,8.333333,,,,,,,,24.0,0.0,0.142228,-0.508545,0.476563,0.7028810000000001,0.8520639999999999,-0.543465,-0.02295,-0.033358,-0.038801,-0.01731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11882,1650407407.513714,1650407407.536326,49.0,0.0,4302.563965,4670.769043,4253.846191,4284.102539,4265.641113000001,0.0,4.0,86.0,,,,0.0,1.0,2.0,0.0,0.0,1.0,8.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11883,1650407407.521529,1650407407.544241,50.0,0.0,4276.922852000001,4718.974121,4293.333496,4346.153809,4243.589844,0.0,4.0,86.0,,,,0.0,1.0,2.0,0.0,0.0,1.0,8.333333,,,,,,,,25.0,0.0,0.143043,-0.508545,0.476318,0.7028810000000001,0.842298,-0.5297930000000001,-0.018067,-0.03344,-0.038729,-0.015481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,512.0,0.296491,,,,,,,,,,,,,,,,,,,,,,,,,
11884,1650407407.529343,1650407407.552057,51.0,0.0,4329.230957,4722.563965,4202.563965,4290.769043,4282.563965,0.0,4.0,86.0,,,,0.0,1.0,2.0,0.0,0.0,1.0,8.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11885,1650407407.537158,1650407407.5598722,52.0,0.0,4326.153809,4782.563965,4092.3076170000004,4266.666504,4310.256348,0.0,4.0,86.0,,,,0.0,1.0,2.0,0.0,0.0,1.0,8.333333,,,,,,,,26.0,0.0,0.142228,-0.508545,0.476563,0.7028810000000001,0.8520639999999999,-0.543465,-0.02295,-0.033466,-0.038714,-0.01696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11886,1650407407.5449731,1650407407.567587,53.0,0.0,4294.871582,4664.615234000001,4128.717772999999,4309.743652,4265.641113000001,0.0,4.0,86.0,,,,0.0,1.0,2.0,0.0,0.0,1.0,8.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11887,1650407407.5527868,1650407407.5755029,54.0,0.0,4315.384765999999,4493.333496,4131.282227000001,4308.717772999999,4227.179688,0.0,4.0,86.0,,,,0.0,1.0,2.0,0.0,0.0,1.0,8.333333,,,,,,,,27.0,0.0,0.142228,-0.508545,0.476563,0.7028810000000001,0.847669,-0.53077,-0.02002,-0.033488,-0.0387,-0.018292,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,512.0,0.325719,6.79025,4.965637999999999,4.594822,5.472878,5.052295,54.796397999999996,67.085526,12.245184,16.0835,11.478982,82.453659,84.076782,105.22403700000001,24.525761,20.112585,12.469545,23.173185,21.054438,14.203420999999999,10.387486,8.741317,5.9543349999999995,2.511084,4.460972,4.842642
11888,1650407407.560602,1650407407.583318,55.0,0.0,4355.897461,4504.615234000001,4007.6923829999996,4285.641113000001,4248.205078,0.0,4.0,86.0,,,,0.0,1.0,2.0,0.0,0.0,1.0,8.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11889,1650407407.568416,1650407407.591233,56.0,0.0,4331.282227000001,4594.358886999999,4038.974365,4280.512695,4237.436035,0.0,4.0,86.0,,,,0.0,1.0,2.0,0.0,0.0,1.0,8.333333,,,,,,,,28.0,0.0,0.142282,-0.508301,0.476807,0.7028810000000001,0.8462040000000001,-0.534676,-0.012695999999999999,-0.033460000000000004,-0.03859,-0.016365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11890,1650407407.576231,1650407407.599049,57.0,0.0,4304.102539,4635.897461,4193.333496,4298.974121,4242.563965,0.0,4.0,86.0,,,,0.0,1.0,2.0,0.0,0.0,1.0,8.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11891,1650407407.584045,1650407407.606964,58.0,0.0,4324.102539,4609.230957,4191.794922,4328.717772999999,4269.743652,0.0,4.0,86.0,,,,0.0,1.0,2.0,0.0,0.0,1.0,8.333333,,,,,,,,29.0,0.0,0.143152,-0.508057,0.476807,0.7028810000000001,0.842298,-0.526864,-0.012206999999999999,-0.033483,-0.038588,-0.017707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,512.0,0.325719,,,,,,,,,,,,,,,,,,,,,,,,,
11892,1650407407.59186,1650407407.614779,59.0,0.0,4344.615234000001,4539.487305,4140.512695,4323.589844,4284.102539,0.0,4.0,86.0,,,,0.0,1.0,2.0,0.0,0.0,1.0,8.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
