,Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,MC.Action,MC.ActionPower,MC.IsActive,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max,FE.BlinkWink,FE.HorizontalEyesDirection,FE.UpperFaceAction,FE.UpperFaceActionPower,FE.LowerFaceAction,FE.LowerFaceActionPower,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
36471,1648952889.566472,1648952889.584366,86.0,0.0,4452.307617,4768.717772999999,4649.230957,4405.128418,4307.692383,450.0,3.0,73.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,43.0,0.0,0.7175229999999999,-0.09814500000000001,0.112061,0.68042,0.333989,-0.038575,-0.9668120000000001,0.0006799999999999999,-0.017462000000000002,-0.018352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36472,1648952889.574286,1648952889.592181,87.0,0.0,3900.0,4920.0,3945.641113,4070.256348,4396.922852000001,0.0,3.0,73.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36473,1648952889.5821009,1648952889.600096,88.0,0.0,4397.94873,4906.666504,3842.0512700000004,4555.384765999999,4201.025879,450.0,3.0,73.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,44.0,0.0,0.717253,-0.09814500000000001,0.112305,0.680664,0.29395,-0.012206999999999999,-0.978042,0.0015400000000000001,-0.017424000000000002,-0.013343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36474,1648952889.589915,1648952889.6079109,89.0,0.0,4806.666504,4764.102539,4266.666504,5461.538574,4259.487305,450.0,3.0,73.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,32.0,0.09272899999999999,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
36475,1648952889.5977302,1648952889.615825,90.0,0.0,2964.615479,4513.333496,3643.076904,3817.9487299999996,4633.333496,450.0,3.0,73.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,45.0,0.0,0.717363,-0.0979,0.11181600000000001,0.680664,0.319341,-0.044433999999999994,-0.9521629999999999,0.002362,-0.017391,-0.018308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36476,1648952889.6055448,1648952889.62364,91.0,0.0,3155.384521,4446.153809,3563.076904,3190.769287,4505.641113000001,0.0,3.0,73.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36477,1648952889.613359,1648952889.631555,92.0,0.0,4594.358886999999,4548.717772999999,4383.077147999999,4259.487305,4026.1538090000004,450.0,3.0,73.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,46.0,0.0,0.7173109999999999,-0.097412,0.11108399999999999,0.680908,0.306157,-0.007324,-0.9585110000000001,0.0032,-0.017459,-0.016428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36478,1648952889.621174,1648952889.6394699,93.0,0.0,4730.769043,4656.410156,4581.025879,4784.615234000001,4191.282227000001,450.0,3.0,73.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,32.0,0.09272899999999999,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
36479,1648952889.628988,1648952889.647285,94.0,0.0,3981.538574,4643.589844,4028.718018,3913.3332520000004,4606.153809,450.0,3.0,73.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,47.0,0.0,0.717434,-0.09765599999999999,0.111572,0.680664,0.27686,-0.012206999999999999,-1.001968,0.005419,-0.017519,-0.021084000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36480,1648952889.636803,1648952889.6552,95.0,0.0,4839.487305,4550.769043,4089.2307130000004,4279.487305,4365.641113000001,0.0,3.0,73.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
