,num_above_peaks_AF3,num_above_peaks_AF4,variance_AF3,variance_AF4,label
0,2,2,1018036.0660776398,279507.93655160686,blink
1,2,2,1231626.3292786116,349671.4118121518,blink
2,3,2,118043.75589524566,19096.522998095956,blink
3,3,2,28557.79041379477,14243.486850860754,blink
4,3,2,1103468.947052885,45363.12814437209,blink
5,3,3,1377015.4007960702,63877.82692552138,blink
6,3,3,1334505.2187102498,66149.85196959868,blink
7,2,2,730845.15398872,128897.18573439537,blink
8,3,2,1109810.348833278,51064.69000422542,blink
9,4,4,74033.32390072153,31947.563812098066,blink
10,2,2,1217167.2000590104,52003.1307091212,blink
11,2,3,28207.951054905847,15295.241964916713,blink
12,2,2,24278.68293929634,8744.315398240167,blink
13,2,2,742140.6843854942,65610.39896553008,blink
14,3,2,933950.3467798084,283618.79590631416,blink
15,1,2,118641.0947744296,17056.496821058845,blink
16,3,3,911500.6400651016,130992.03283228408,blink
17,4,4,114233.96896051061,36190.224532237495,blink
18,3,3,720894.9138720107,108241.06152038403,blink
19,3,2,453218.89276894135,19526.440290612216,blink
20,3,3,65978.27717657587,24504.239455296265,blink
21,0,3,70293.98769055617,29952.36935468652,blink
22,3,3,27218.90404038595,11227.101742232138,blink
23,3,3,1584613.5511624268,117769.42888319232,blink
24,3,3,36161.91068994477,17925.88068719916,blink
25,3,3,49363.558078115144,22282.60364738847,blink
26,3,2,971516.5563912938,26514.463629376158,blink
27,2,1,63096.05284753214,6980.947776331159,blink
28,2,2,1007230.515349829,94831.35157640651,blink
29,2,2,737629.1676341397,29180.375879108386,blink
30,3,2,1311746.5824377825,304077.63749989704,blink
31,3,3,791831.1757306906,25795.49334055373,blink
32,2,2,553565.5752294696,158377.6023784377,blink
33,3,3,1289070.018277717,182515.0355420531,blink
34,2,2,327047.6249494356,12886.186875019057,blink
35,2,1,494094.3141008534,92147.6889841286,blink
36,2,3,91370.19605604798,30894.22586585376,blink
37,2,2,49458.27157821237,27423.821874699115,blink
38,3,3,677720.9705443338,14494.035839292308,blink
39,3,3,39572.396817521294,16209.153986686608,blink
