latency,duration,type,marker_value,key,timestamp,marker_id
7.479407,0.000000,baseline,5,5,1645817739.773111,1
18.170974,0.000000,baseline,5,5,1645817750.464678,2
28.659339,0.000000,baseline,5,5,1645817760.953043,3
37.772181,0.000000,baseline,5,5,1645817770.065885,4
45.814302,0.000000,baseline,5,5,1645817778.108006,5
54.919329,0.000000,baseline,5,5,1645817787.213033,6
75.122326,0.000000,baseline,5,5,1645817807.416030,7
83.422359,0.000000,baseline,5,5,1645817815.716063,8
94.364021,0.000000,baseline,5,5,1645817826.657725,9
103.852005,0.000000,baseline,5,5,1645817836.145709,10
113.097710,0.000000,baseline,5,5,1645817845.391414,11
124.359806,0.000000,baseline,5,5,1645817856.653510,12
134.129147,0.000000,baseline,5,5,1645817866.422851,13
144.891054,0.000000,baseline,5,5,1645817877.184758,14
151.159063,0.000000,baseline,5,5,1645817883.452767,15
161.381702,0.000000,baseline,5,5,1645817893.675406,16
169.369115,0.000000,baseline,5,5,1645817901.662819,17
176.746922,0.000000,baseline,5,5,1645817909.040626,18
182.202122,0.000000,invalid,1,1,1645817914.495826,19
189.884732,0.000000,baseline,5,5,1645817922.178436,20
198.059717,0.000000,baseline,5,5,1645817930.353421,21
204.976410,0.000000,invalid,1,1,1645817937.270114,22
278.332440,0.000000,baseline,5,5,1645818010.626144,23
281.622754,0.000000,invalid,1,1,1645818013.916458,24
