latency,duration,type,marker_value,key,timestamp,marker_id
8.395270,0.000000,baseline,5,5,1645493674.841934,1
19.421807,0.000000,baseline,5,5,1645493685.868471,2
27.169410,0.000000,baseline,5,5,1645493693.616074,3
48.787797,0.000000,baseline,5,5,1645493715.234461,4
55.844945,0.000000,baseline,5,5,1645493722.291609,5
74.489374,0.000000,baseline,5,5,1645493740.936038,6
80.929149,0.000000,baseline,5,5,1645493747.375813,7
100.129937,0.000000,baseline,5,5,1645493766.576601,8
106.905848,0.000000,invalid,1,1,1645493773.352512,9
121.868725,0.000000,invalid,1,1,1645493788.315389,10
145.315126,0.000000,invalid,1,1,1645493811.761790,11
205.785438,0.000000,baseline,5,5,1645493872.232102,12
212.276666,0.000000,baseline,5,5,1645493878.723330,13
218.549627,0.000000,baseline,5,5,1645493884.996291,14
224.968551,0.000000,baseline,5,5,1645493891.415215,15
233.079295,0.000000,baseline,5,5,1645493899.525959,16
256.764334,0.000000,baseline,5,5,1645493923.210998,17
263.041177,0.000000,baseline,5,5,1645493929.487841,18
271.054874,0.000000,baseline,5,5,1645493937.501538,19
276.025577,0.000000,invalid,1,1,1645493942.472241,20
282.366465,0.000000,invalid,1,1,1645493948.813129,21
283.335611,0.000000,invalid,1,1,1645493949.782275,22
284.030098,0.000000,invalid,1,1,1645493950.476762,23
350.913910,0.000000,baseline,5,5,1645494017.360574,24
359.103819,0.000000,baseline,5,5,1645494025.550483,25
367.144524,0.000000,invalid,1,1,1645494033.591188,26
376.856173,0.000000,invalid,1,1,1645494043.302837,27
378.809776,0.000000,baseline,5,5,1645494045.256440,28
382.561996,0.000000,invalid,1,1,1645494049.008660,29
481.895917,0.000000,baseline,5,5,1645494148.342581,30
487.940051,0.000000,baseline,5,5,1645494154.386715,31
494.099779,0.000000,baseline,5,5,1645494160.546443,32
499.712044,0.000000,baseline,5,5,1645494166.158708,33
509.878466,0.000000,baseline,5,5,1645494176.325130,34
515.305883,0.000000,baseline,5,5,1645494181.752547,35
523.398290,0.000000,baseline,5,5,1645494189.844954,36
529.640181,0.000000,baseline,5,5,1645494196.086845,37
535.539548,0.000000,baseline,5,5,1645494201.986212,38
545.640206,0.000000,baseline,5,5,1645494212.086870,39
551.824100,0.000000,baseline,5,5,1645494218.270764,40
558.334763,0.000000,baseline,5,5,1645494224.781427,41
565.147931,0.000000,baseline,5,5,1645494231.594595,42
576.584655,0.000000,baseline,5,5,1645494243.031319,43
582.128848,0.000000,baseline,5,5,1645494248.575512,44
589.874580,0.000000,baseline,5,5,1645494256.321244,45
596.478159,0.000000,baseline,5,5,1645494262.924823,46
603.090949,0.000000,baseline,5,5,1645494269.537613,47
609.581038,0.000000,baseline,5,5,1645494276.027702,48
616.497454,0.000000,baseline,5,5,1645494282.944118,49
628.136156,0.000000,baseline,5,5,1645494294.582820,50
634.614515,0.000000,baseline,5,5,1645494301.061179,51
640.853502,0.000000,baseline,5,5,1645494307.300166,52
647.403557,0.000000,baseline,5,5,1645494313.850221,53
653.551810,0.000000,baseline,5,5,1645494319.998474,54
658.118699,0.000000,invalid,1,1,1645494324.565363,55
673.197553,0.000000,baseline,5,5,1645494339.644217,56
679.675753,0.000000,baseline,5,5,1645494346.122417,57
685.901704,0.000000,baseline,5,5,1645494352.348368,58
687.224388,0.000000,invalid,1,1,1645494353.671052,59
698.211393,0.000000,baseline,5,5,1645494364.658057,60
704.594861,0.000000,baseline,5,5,1645494371.041525,61
710.560555,0.000000,baseline,5,5,1645494377.007219,62
