latency,duration,type,marker_value,key,timestamp,marker_id
5.616543,0.000000,single_blink,2,2,1645492281.824472,1
14.406291,0.000000,single_blink,2,2,1645492290.614220,2
22.734565,0.000000,single_blink,2,2,1645492298.942494,3
30.938835,0.000000,single_blink,2,2,1645492307.146764,4
38.946790,0.000000,single_blink,2,2,1645492315.154719,5
48.669512,0.000000,single_blink,2,2,1645492324.877441,6
57.927783,0.000000,single_blink,2,2,1645492334.135712,7
70.013687,0.000000,single_blink,2,2,1645492346.221616,8
78.534398,0.000000,single_blink,2,2,1645492354.742327,9
105.038522,0.000000,single_blink,2,2,1645492381.246451,10
114.851922,0.000000,single_blink,2,2,1645492391.059851,11
125.564393,0.000000,single_blink,2,2,1645492401.772322,12
134.863498,0.000000,single_blink,2,2,1645492411.071427,13
143.694344,0.000000,single_blink,2,2,1645492419.902273,14
153.283843,0.000000,invalid,1,1,1645492429.491772,15
156.941375,0.000000,single_blink,2,2,1645492433.149304,16
166.853409,0.000000,single_blink,2,2,1645492443.061338,17
175.123244,0.000000,single_blink,2,2,1645492451.331173,18
184.142703,0.000000,single_blink,2,2,1645492460.350632,19
191.585050,0.000000,single_blink,2,2,1645492467.792979,20
198.855071,0.000000,single_blink,2,2,1645492475.063000,21
206.750387,0.000000,single_blink,2,2,1645492482.958316,22
215.263808,0.000000,single_blink,2,2,1645492491.471737,23
223.441225,0.000000,single_blink,2,2,1645492499.649154,24
231.345645,0.000000,invalid,1,1,1645492507.553574,25
245.122198,0.000000,single_blink,2,2,1645492521.330127,26
254.733996,0.000000,single_blink,2,2,1645492530.941925,27
263.538114,0.000000,single_blink,2,2,1645492539.746043,28
272.630665,0.000000,single_blink,2,2,1645492548.838594,29
282.439045,0.000000,single_blink,2,2,1645492558.646974,30
290.415057,0.000000,single_blink,2,2,1645492566.622986,31
302.320519,0.000000,single_blink,2,2,1645492578.528448,32
312.298107,0.000000,single_blink,2,2,1645492588.506036,33
321.201619,0.000000,single_blink,2,2,1645492597.409548,34
329.396227,0.000000,single_blink,2,2,1645492605.604156,35
336.411412,0.000000,single_blink,2,2,1645492612.619341,36
