latency,duration,type,marker_value,key,timestamp,marker_id
6.401090,0.000000,double_blink,3,3,1645650931.446070,1
11.194272,0.000000,double_blink,3,3,1645650936.239252,2
16.174690,0.000000,double_blink,3,3,1645650941.219670,3
21.539850,0.000000,double_blink,3,3,1645650946.584830,4
26.421030,0.000000,double_blink,3,3,1645650951.466010,5
31.467883,0.000000,double_blink,3,3,1645650956.512863,6
34.757586,0.000000,invalid,1,1,1645650959.802566,7
36.822237,0.000000,double_blink,3,3,1645650961.867217,8
41.622503,0.000000,double_blink,3,3,1645650966.667483,9
46.775151,0.000000,double_blink,3,3,1645650971.820131,10
51.252353,0.000000,double_blink,3,3,1645650976.297333,11
55.921610,0.000000,double_blink,3,3,1645650980.966590,12
60.949741,0.000000,double_blink,3,3,1645650985.994721,13
65.599381,0.000000,double_blink,3,3,1645650990.644361,14
70.492345,0.000000,double_blink,3,3,1645650995.537325,15
75.461858,0.000000,double_blink,3,3,1645651000.506838,16
80.205425,0.000000,double_blink,3,3,1645651005.250405,17
82.942266,0.000000,invalid,1,1,1645651007.987246,18
84.820921,0.000000,double_blink,3,3,1645651009.865901,19
89.790955,0.000000,double_blink,3,3,1645651014.835935,20
94.802923,0.000000,double_blink,3,3,1645651019.847903,21
99.168110,0.000000,double_blink,3,3,1645651024.213090,22
104.106649,0.000000,double_blink,3,3,1645651029.151629,23
112.026461,0.000000,double_blink,3,3,1645651037.071441,24
117.538815,0.000000,double_blink,3,3,1645651042.583795,25
128.567371,0.000000,double_blink,3,3,1645651053.612351,26
133.801603,0.000000,double_blink,3,3,1645651058.846583,27
138.722060,0.000000,double_blink,3,3,1645651063.767040,28
143.639420,0.000000,double_blink,3,3,1645651068.684400,29
152.252135,0.000000,double_blink,3,3,1645651077.297115,30
154.918846,0.000000,invalid,1,1,1645651079.963826,31
156.371926,0.000000,double_blink,3,3,1645651081.416906,32
161.508589,0.000000,double_blink,3,3,1645651086.553569,33
166.055054,0.000000,double_blink,3,3,1645651091.100034,34
170.460981,0.000000,double_blink,3,3,1645651095.505961,35
175.504970,0.000000,double_blink,3,3,1645651100.549950,36
177.773146,0.000000,invalid,1,1,1645651102.818126,37
179.620443,0.000000,double_blink,3,3,1645651104.665423,38
184.543619,0.000000,double_blink,3,3,1645651109.588599,39
189.417989,0.000000,double_blink,3,3,1645651114.462969,40
194.159514,0.000000,double_blink,3,3,1645651119.204494,41
198.837546,0.000000,double_blink,3,3,1645651123.882526,42
203.607754,0.000000,double_blink,3,3,1645651128.652734,43
208.271756,0.000000,double_blink,3,3,1645651133.316736,44
213.102393,0.000000,double_blink,3,3,1645651138.147373,45
217.699781,0.000000,double_blink,3,3,1645651142.744761,46
222.692078,0.000000,double_blink,3,3,1645651147.737058,47
227.703217,0.000000,double_blink,3,3,1645651152.748197,48
232.486727,0.000000,double_blink,3,3,1645651157.531707,49
237.133433,0.000000,double_blink,3,3,1645651162.178413,50
241.925037,0.000000,double_blink,3,3,1645651166.970017,51
255.653891,0.000000,invalid,1,1,1645651180.698871,52
258.237041,0.000000,double_blink,3,3,1645651183.282021,53
263.156099,0.000000,double_blink,3,3,1645651188.201079,54
267.736119,0.000000,double_blink,3,3,1645651192.781099,55
271.564556,0.000000,double_blink,3,3,1645651196.609536,56
