latency,duration,type,marker_value,key,timestamp,marker_id
29.423659,0.000000,triple_blink,4,4,1645818707.927404,1
34.534701,0.000000,triple_blink,4,4,1645818713.038446,2
39.309695,0.000000,triple_blink,4,4,1645818717.813440,3
44.772415,0.000000,triple_blink,4,4,1645818723.276160,4
50.352359,0.000000,triple_blink,4,4,1645818728.856104,5
56.502803,0.000000,triple_blink,4,4,1645818735.006548,6
61.543509,0.000000,triple_blink,4,4,1645818740.047254,7
66.599846,0.000000,triple_blink,4,4,1645818745.103591,8
71.726518,0.000000,triple_blink,4,4,1645818750.230263,9
75.290180,0.000000,invalid,1,1,1645818753.793925,10
78.033262,0.000000,triple_blink,4,4,1645818756.537007,11
83.425646,0.000000,triple_blink,4,4,1645818761.929391,12
89.013406,0.000000,triple_blink,4,4,1645818767.517151,13
94.147893,0.000000,triple_blink,4,4,1645818772.651638,14
99.407421,0.000000,triple_blink,4,4,1645818777.911166,15
103.869814,0.000000,triple_blink,4,4,1645818782.373559,16
108.957411,0.000000,triple_blink,4,4,1645818787.461156,17
114.506095,0.000000,triple_blink,4,4,1645818793.009840,18
120.203266,0.000000,triple_blink,4,4,1645818798.707011,19
125.736321,0.000000,triple_blink,4,4,1645818804.240066,20
131.034924,0.000000,triple_blink,4,4,1645818809.538669,21
136.255376,0.000000,triple_blink,4,4,1645818814.759121,22
141.233562,0.000000,triple_blink,4,4,1645818819.737307,23
144.070425,0.000000,invalid,1,1,1645818822.574170,24
146.711912,0.000000,triple_blink,4,4,1645818825.215657,25
152.057405,0.000000,triple_blink,4,4,1645818830.561150,26
156.988701,0.000000,triple_blink,4,4,1645818835.492446,27
160.622699,0.000000,invalid,1,1,1645818839.126444,28
162.498310,0.000000,triple_blink,4,4,1645818841.002055,29
168.031365,0.000000,triple_blink,4,4,1645818846.535110,30
173.118962,0.000000,triple_blink,4,4,1645818851.622707,31
178.104963,0.000000,triple_blink,4,4,1645818856.608708,32
183.505162,0.000000,triple_blink,4,4,1645818862.008907,33
188.803765,0.000000,triple_blink,4,4,1645818867.307510,34
193.539684,0.000000,triple_blink,4,4,1645818872.043429,35
199.721388,0.000000,triple_blink,4,4,1645818878.225133,36
204.988731,0.000000,triple_blink,4,4,1645818883.492476,37
207.723998,0.000000,invalid,1,1,1645818886.227743,38
209.419864,0.000000,triple_blink,4,4,1645818887.923609,39
214.734097,0.000000,triple_blink,4,4,1645818893.237842,40
220.282782,0.000000,triple_blink,4,4,1645818898.786527,41
225.581385,0.000000,triple_blink,4,4,1645818904.085130,42
230.950323,0.000000,triple_blink,4,4,1645818909.454068,43
235.514312,0.000000,triple_blink,4,4,1645818914.018057,44
238.640331,0.000000,invalid,1,1,1645818917.144076,45
240.297121,0.000000,triple_blink,4,4,1645818918.800866,46
247.033694,0.000000,triple_blink,4,4,1645818925.537439,47
252.222886,0.000000,triple_blink,4,4,1645818930.726631,48
255.419241,0.000000,invalid,1,1,1645818933.922986,49
257.412079,0.000000,triple_blink,4,4,1645818935.915824,50
260.780364,0.000000,invalid,1,1,1645818939.284109,51
272.627979,0.000000,triple_blink,4,4,1645818951.131724,52
277.051296,0.000000,invalid,1,1,1645818955.555041,53
282.725022,0.000000,triple_blink,4,4,1645818961.228767,54
288.172111,0.000000,triple_blink,4,4,1645818966.675856,55
291.524767,0.000000,invalid,1,1,1645818970.028512,56
309.069551,0.000000,triple_blink,4,4,1645818987.573296,57
